"","1","2","3","4","5","6","7","8","Gene"
"75",0,0,1,0,0,0,0,1,"1200011I18Rik"
"76",1,0,4,1,0,0,1,2,"1200011M11Rik"
"77",4,0,0,1,0,1,0,1,"1200014J11Rik"
"78",1,3,0,0,0,0,4,0,"1200016B10Rik"
"79",10,0,0,0,0,4,0,10,"1300001I01Rik"
"80",2,0,0,0,0,2,0,1,"1300002E11Rik"
"81",11,0,0,0,0,4,5,3,"1300010F03Rik"
"82",1,2,3,0,0,0,17,4,"1300014I06Rik"
"83",4,1,3,4,0,2,2,5,"1300018I17Rik"
"84",2,3,5,0,0,2,4,1,"1300018J18Rik"
"85",0,2,0,0,0,1,0,1,"1500001M20Rik"
"86",5,1,4,4,1,3,7,0,"1500002O20Rik"
"87",5,9,2,1,6,4,2,12,"1500003O03Rik"
"88",9,0,6,0,1,4,7,4,"1500009C09Rik"
"89",0,0,0,0,0,7,2,1,"1500009L16Rik"
"90",8,0,1,0,0,2,4,2,"1500010J02Rik"
"91",0,9,8,0,5,7,4,4,"1500011B03Rik"
"92",1,2,2,0,1,4,4,4,"1500011H22Rik"
"93",1,2,1,1,2,1,5,1,"1500011K16Rik"
"94",8,17,2,8,1,24,8,7,"1500012F01Rik"
"95",3,0,0,0,0,4,1,0,"1500015A07Rik"
"96",0,0,0,0,0,7,0,0,"1500016L03Rik"
"97",3,3,2,0,1,0,3,3,"1500031L02Rik"
"98",9,23,22,2,28,16,15,22,"1500032L24Rik"
"99",2,0,0,0,0,0,2,2,"1520402A15Rik"
"100",2,0,0,0,0,2,3,0,"1600002H07Rik"
"101",0,0,0,0,0,0,1,1,"1600002K03Rik"
"102",0,0,0,0,0,1,1,6,"1600012F09Rik"
"103",0,0,0,0,1,6,4,0,"1600012H06Rik"
"104",0,1,0,0,0,1,1,0,"1600014C10Rik"
"105",4,1,0,0,0,1,1,3,"1600020E01Rik"
"106",0,0,0,0,0,5,4,2,"1600021P15Rik"
"107",1,6,0,0,0,1,3,0,"1600027N09Rik"
"108",0,0,0,0,0,0,0,0,"1700001L19Rik"
"109",2,0,0,0,0,0,13,0,"1700001O22Rik"
"110",0,0,0,0,0,0,0,0,"1700001P01Rik"
"111",0,0,0,0,0,2,0,1,"1700003E16Rik"
"112",0,0,0,0,0,0,0,0,"1700003F12Rik"
"113",1,0,0,0,0,0,0,3,"1700003M07Rik"
"114",0,0,0,0,0,0,0,2,"1700007K13Rik"
"115",0,0,0,0,0,0,0,0,"1700008J07Rik"
"116",0,0,0,0,0,0,0,2,"1700009P17Rik"
"117",1,3,1,2,2,2,3,1,"1700012B15Rik"
"118",0,0,0,0,0,0,0,0,"1700016K19Rik"
"119",0,2,0,2,0,0,1,2,"1700017B05Rik"
"120",0,0,0,0,0,0,0,0,"1700019D03Rik"
"121",4,2,2,0,4,1,5,1,"1700019E19Rik"
"122",0,0,0,0,0,0,3,4,"1700019G17Rik"
"123",4,2,1,0,0,0,3,8,"1700020I14Rik"
"124",0,1,0,0,0,0,0,0,"1700020L24Rik"
"125",1,2,0,3,2,1,1,0,"1700020O03Rik"
"126",0,3,0,0,0,1,0,0,"1700021C14Rik"
"127",1,0,2,0,2,4,0,0,"1700021F05Rik"
"128",2,2,6,1,2,1,3,2,"1700021K19Rik"
"129",1,0,1,0,0,0,0,2,"1700025G04Rik"
"130",1,0,1,0,1,2,2,2,"1700025K23Rik"
"131",0,0,0,0,0,0,0,0,"1700027A23Rik"
"132",57,0,0,0,0,1,0,7,"1700027L20Rik"
"133",2,2,0,0,0,0,0,2,"1700029F09Rik"
"134",0,4,0,0,0,0,0,0,"1700029G01Rik"
"135",1,0,0,0,0,0,0,0,"1700029J07Rik"
"136",1,0,0,0,0,0,0,1,"1700030K09Rik"
"137",2,4,2,0,0,0,2,0,"1700034H14Rik"
"138",0,0,0,0,0,0,0,0,"1700037C18Rik"
"139",1,2,2,3,1,11,3,2,"1700037H04Rik"
"140",6,3,1,0,1,0,7,0,"1700040I03Rik"
"141",0,0,0,0,0,3,0,0,"1700045I19Rik"
"142",0,0,0,0,5,0,2,0,"1700047M11Rik"
"143",0,0,0,0,0,0,0,0,"1700048O20Rik"
"144",0,0,0,0,0,0,0,0,"1700052K11Rik"
"145",0,0,2,0,0,0,0,0,"1700052N19Rik"
"146",0,0,0,0,0,4,0,0,"1700054N08Rik"
"147",4,0,3,0,0,3,3,10,"1700066M21Rik"
"148",4,0,1,0,0,12,7,3,"1700081L11Rik"
"149",17,0,0,0,0,1,2,2,"1700084C01Rik"
"150",1,0,5,0,1,3,9,9,"1700086L19Rik"
"151",0,0,0,0,0,0,0,0,"1700086O06Rik"
"152",0,0,0,0,0,0,0,0,"1700088E04Rik"
"153",0,0,0,0,0,0,0,0,"1700094D03Rik"
"154",1,0,0,0,0,0,1,0,"1700096K18Rik"
"155",0,0,0,0,0,0,2,1,"1700106N22Rik"
"156",0,0,0,0,0,0,0,0,"1700112E06Rik"
"157",3,3,2,3,0,1,5,3,"1700123O20Rik"
"158",9,22,17,18,3,26,14,13,"1810006K21Rik"
"159",0,0,4,0,0,4,1,1,"1810008A18Rik"
"160",1,2,1,5,3,1,0,1,"1810009A15Rik"
"161",1,0,2,1,0,0,2,1,"1810010H24Rik"
"162",0,0,0,5,0,0,0,0,"1810011H11Rik"
"163",0,4,0,1,0,1,0,0,"1810011O10Rik"
"164",0,0,0,0,0,1,0,6,"1810012P15Rik"
"165",3,3,4,3,7,2,2,6,"1810013D10Rik"
"166",8,10,6,1,3,5,0,0,"1810013L24Rik"
"167",0,0,0,0,0,0,0,0,"1810014B01Rik"
"168",0,0,0,0,1,3,2,1,"1810014F10Rik"
"169",3,2,10,1,1,3,14,2,"1810020D17Rik"
"170",0,1,0,0,0,0,0,1,"1810024B03Rik"
"171",1,5,0,1,0,3,1,0,"1810026B05Rik"
"172",1,2,3,1,5,6,9,4,"1810026J23Rik"
"173",9,6,18,9,20,20,11,35,"1810027O10Rik"
"174",1,1,1,0,0,0,1,1,"1810029B16Rik"
"175",0,0,1,0,3,1,3,3,"1810030N24Rik"
"176",4,1,3,2,0,5,4,5,"1810030O07Rik"
"177",1,5,0,1,3,4,5,8,"1810031K17Rik"
"178",0,2,2,0,0,3,0,4,"1810032O08Rik"
"179",7,10,3,3,2,9,3,6,"1810035L17Rik"
"180",9,13,6,2,15,1,9,7,"1810037I17Rik"
"181",0,0,38,0,1,1,9,1,"1810041L15Rik"
"182",1,1,0,8,0,3,0,6,"1810043G02Rik"
"183",2,1,1,1,4,0,2,3,"1810043H04Rik"
"184",2,0,0,0,1,0,0,0,"1810044D09Rik"
"185",5,2,13,8,11,14,11,18,"1810046J19Rik"
"186",1,0,0,0,0,4,0,1,"1810048J11Rik"
"187",0,0,0,0,0,0,0,0,"1810049H13Rik"
"188",2,0,2,0,5,2,8,3,"1810055G02Rik"
"189",2,5,19,6,18,9,3,2,"1810058I24Rik"
"190",2,3,0,0,2,2,2,2,"1810063B05Rik"
"191",0,0,0,1,0,0,2,1,"1810063B07Rik"
"192",6,0,3,1,1,0,1,2,"1810074P20Rik"
"193",0,0,0,3,1,0,0,5,"2010002N04Rik"
"194",5,2,1,2,4,2,2,3,"2010007H12Rik"
"195",1,2,0,4,0,3,3,0,"2010011I20Rik"
"196",3,3,2,1,1,2,1,0,"2010012O05Rik"
"197",0,0,0,1,0,0,0,0,"2010015L04Rik"
"198",7,3,0,1,0,2,17,6,"2010106G01Rik"
"199",6,38,21,9,14,6,20,69,"2010107E04Rik"
"200",0,0,0,0,0,2,0,0,"2010107G23Rik"
"201",1,0,3,1,0,2,2,0,"2010107H07Rik"
"202",1,0,0,0,0,2,0,0,"2010109K11Rik"
"203",0,0,0,0,0,0,0,0,"2010110P09Rik"
"204",0,0,0,0,0,0,0,0,"2010111I01Rik"
"205",0,0,0,0,0,0,1,3,"2010300C02Rik"
"206",0,0,0,0,0,0,0,2,"2010305A19Rik"
"207",1,0,0,0,0,0,4,0,"2010317E24Rik"
"208",0,2,0,0,0,3,0,0,"2010320M18Rik"
"209",5,3,6,1,1,1,0,2,"2010321M09Rik"
"210",0,0,0,0,0,2,0,1,"2200002K05Rik"
"211",0,0,0,0,0,0,0,0,"2210009G21Rik"
"212",0,0,0,0,0,0,0,0,"2210012G02Rik"
"213",3,7,7,2,4,9,5,6,"2210013O21Rik"
"214",0,0,4,0,0,1,1,0,"2210015D19Rik"
"215",0,0,0,0,0,3,1,0,"2210016F16Rik"
"216",1,2,0,0,0,3,2,3,"2210016L21Rik"
"217",0,1,1,0,0,0,0,2,"2210018M11Rik"
"218",0,0,3,0,1,0,0,0,"2210021J22Rik"
"219",2,2,0,0,0,1,0,0,"2210403K04Rik"
"220",4,0,0,0,0,0,0,1,"2210404J11Rik"
"221",0,0,0,0,0,3,0,0,"2210408F21Rik"
"222",2,0,0,0,0,1,2,3,"2210408I21Rik"
"223",0,0,0,0,0,5,0,1,"2210411K11Rik"
"224",0,1,2,0,1,1,2,1,"2300009A05Rik"
"225",10,6,5,1,1,4,11,5,"2310001A20Rik"
"226",3,1,0,1,1,0,2,3,"2310003C23Rik"
"227",10,10,10,1,3,25,19,19,"2310003F16Rik"
"228",1,1,4,1,0,1,1,6,"2310003H01Rik"
"229",1,2,2,0,0,2,1,2,"2310003L22Rik"
"230",2,1,0,0,0,1,1,0,"2310004I24Rik"
"231",0,0,8,4,4,5,1,2,"2310004N24Rik"
"232",2,0,2,0,0,0,2,1,"2310008H04Rik"
"233",0,0,0,1,0,3,0,0,"2310008H09Rik"
"234",0,4,1,1,1,1,1,0,"2310009A05Rik"
"235",0,5,1,0,0,1,0,3,"2310009B15Rik"
"236",0,3,3,2,5,3,2,0,"2310011J03Rik"
"237",0,9,1,43,0,1,3,3,"2310014H01Rik"
"238",0,0,0,0,0,0,0,1,"2310015A10Rik"
"239",1,26,1,3,0,0,3,3,"2310016C08Rik"
"240",1,4,9,5,7,7,7,3,"2310016M24Rik"
"241",2,1,6,3,0,9,11,2,"2310021P13Rik"
"242",0,0,0,1,0,4,0,0,"2310022A10Rik"
"243",20,2,8,8,4,2,3,7,"2310022B05Rik"
"244",4,0,2,2,10,5,1,13,"2310028H24Rik"
"245",2,9,5,1,5,3,9,4,"2310028O11Rik"
"246",0,0,0,0,0,1,0,2,"2310030N02Rik"
"247",0,1,1,1,0,1,0,1,"2310033P09Rik"
"248",2,0,1,0,1,3,1,4,"2310035C23Rik"
"249",0,2,4,0,0,0,4,1,"2310035K24Rik"
"250",6,13,14,9,7,12,11,6,"2310036O22Rik"
"251",3,0,0,0,0,2,1,0,"2310037I24Rik"
"252",2,1,0,0,1,1,1,0,"2310039H08Rik"
"253",0,0,9,0,0,0,0,0,"2310042D19Rik"
"254",1,2,2,0,1,5,4,8,"2310044G17Rik"
"255",21,11,32,13,15,8,23,6,"2310044H10Rik"
"256",0,1,2,0,3,2,3,3,"2310045N01Rik"
"257",0,0,0,0,0,0,0,0,"2310046A06Rik"
"258",0,3,0,0,0,0,0,0,"2310046K01Rik"
"259",0,1,1,0,0,1,5,2,"2310046O06Rik"
"260",0,0,4,0,1,0,0,1,"2310047B19Rik"
"261",1,3,0,0,0,2,0,0,"2310047M10Rik"
"262",0,0,0,0,0,3,0,2,"2310057J16Rik"
"263",0,0,3,0,0,0,1,0,"2310057M21Rik"
"264",1,2,2,0,0,0,0,2,"2310061C15Rik"
"265",4,0,4,1,0,2,2,3,"2310061I04Rik"
"266",0,0,1,0,0,1,0,0,"2310061J03Rik"
"267",2,2,0,2,1,5,3,4,"2310067B10Rik"
"268",1,0,0,0,0,0,0,0,"2310069G16Rik"
"269",1,4,14,15,3,2,10,5,"2400001E08Rik"
"270",9,8,7,2,4,11,10,5,"2400003C14Rik"
"271",3,1,4,8,3,3,5,3,"2410001C21Rik"
"272",5,2,4,2,3,10,6,5,"2410002F23Rik"
"273",2,0,1,0,0,0,0,1,"2410002I01Rik"
"274",2,1,3,0,4,4,2,1,"2410002O22Rik"
"275",5,3,0,0,1,5,1,4,"2410003K15Rik"
"276",1,2,2,0,3,4,2,5,"2410004B18Rik"
"277",3,0,1,2,2,4,3,0,"2410004N09Rik"
"278",0,0,0,0,0,0,0,0,"2410004P03Rik"
"279",13,53,18,18,13,31,16,10,"2410006H16Rik"
"280",3,11,5,8,2,5,3,15,"2410015M20Rik"
"281",0,0,0,0,0,0,0,2,"2410016O06Rik"
"282",0,0,2,0,0,3,1,1,"2410017P09Rik"
"283",0,0,0,0,0,0,0,0,"2410018M08Rik"
"284",1,1,4,3,3,7,6,0,"2410022L05Rik"
"285",6,0,0,0,0,0,2,1,"2410042D21Rik"
"286",1,3,1,0,0,12,0,16,"2410066E13Rik"
"287",0,0,0,0,0,1,3,0,"2410075B13Rik"
"288",0,0,0,0,0,5,0,0,"2410076I21Rik"
"289",0,0,1,0,0,0,0,4,"2410089E03Rik"
"290",0,1,1,1,0,3,0,1,"2410091C18Rik"
"291",4,0,0,0,0,0,1,2,"2410127L17Rik"
"292",2,0,1,0,1,1,1,2,"2410131K14Rik"
"293",8,3,26,2,8,11,16,12,"2500003M10Rik"
"294",0,0,0,0,0,0,1,0,"2500004C02Rik"
"295",2,3,0,0,0,0,0,1,"2510002D24Rik"
"296",2,0,5,0,4,10,2,2,"2510003E04Rik"
"297",6,5,7,6,6,8,4,6,"2510006D16Rik"
"298",7,2,5,0,2,1,5,8,"2510009E07Rik"
"299",0,1,2,5,1,0,7,0,"2510012J08Rik"
"300",1,1,4,5,0,4,2,5,"2510039O18Rik"
"301",1,6,12,3,7,4,6,2,"2610001J05Rik"
"302",0,0,1,0,1,1,0,0,"2610002I17Rik"
"303",5,3,1,0,1,1,0,1,"2610002J02Rik"
"304",0,0,0,0,0,4,3,2,"2610002M06Rik"
"305",2,3,2,0,0,0,0,0,"2610005L07Rik"
"306",6,0,0,0,0,0,0,0,"2610015P09Rik"
"307",12,0,3,0,0,3,16,10,"2610017I09Rik"
"308",0,0,0,0,0,0,0,0,"2610018G03Rik"
"309",0,18,0,0,0,0,0,1,"2610019F03Rik"
"310",0,1,0,0,0,0,0,0,"2610020H08Rik"
"311",0,0,3,0,1,5,0,2,"2610024G14Rik"
"312",0,3,0,3,0,0,2,0,"2610027L16Rik"
"313",1,3,0,1,0,2,1,1,"2610029G23Rik"
"314",0,0,1,0,0,0,2,1,"2610029I01Rik"
"315",1,1,1,0,0,0,7,5,"2610034B18Rik"
"316",1,0,0,0,0,0,0,0,"2610034M16Rik"
"317",0,0,3,0,1,0,2,0,"2610035D17Rik"
"318",3,2,0,0,0,0,0,1,"2610039C10Rik"
"319",0,0,0,0,0,0,2,1,"2610044O15Rik"
"320",0,0,0,0,0,1,1,0,"2610100L16Rik"
"321",2,2,0,0,0,1,0,5,"2610101N10Rik"
"322",0,0,0,0,0,4,0,6,"2610109H07Rik"
"323",7,0,0,0,0,2,1,7,"2610203C20Rik"
"324",4,1,6,0,3,1,4,4,"2610301B20Rik"
"325",6,2,3,1,1,5,0,2,"2610301G19Rik"
"326",0,2,0,0,0,0,0,0,"2610305D13Rik"
"327",0,0,0,0,1,0,0,2,"2610306M01Rik"
"328",10,6,10,6,3,2,6,4,"2610507B11Rik"
"329",0,1,0,0,0,0,0,0,"2610524H06Rik"
"330",0,0,0,1,0,0,0,0,"2610528A11Rik"
"331",0,0,0,0,0,0,0,1,"2610528E23Rik"
"332",3,0,0,0,0,0,0,0,"2700007P21Rik"
"333",1,0,0,0,0,0,0,0,"2700023E23Rik"
"334",6,2,5,0,0,5,8,1,"2700029M09Rik"
"335",0,0,0,0,0,0,3,0,"2700049A03Rik"
"336",1,0,0,0,0,0,0,1,"2700050L05Rik"
"337",0,4,1,4,2,2,0,3,"2700060E02Rik"
"338",0,0,0,0,0,1,1,2,"2700062C07Rik"
"339",0,3,2,0,0,1,2,2,"2700078E11Rik"
"340",1,1,2,4,0,3,0,4,"2700078K21Rik"
"341",1,1,0,2,0,14,4,14,"2700081O15Rik"
"342",11,6,4,1,1,7,8,12,"2700089E24Rik"
"343",0,0,0,0,0,0,0,7,"2700090O03Rik"
"344",1,19,2,3,0,10,16,16,"2700094K13Rik"
"345",2,0,1,0,0,1,1,1,"2700097O09Rik"
"346",0,0,0,0,0,0,0,0,"2700099C18Rik"
"347",3,0,0,0,0,1,2,0,"2810001G20Rik"
"348",0,0,0,0,0,0,0,0,"2810002D19Rik"
"349",2,12,5,1,5,1,10,9,"2810002N01Rik"
"350",1,2,4,2,3,0,6,1,"2810004N23Rik"
"351",0,0,0,0,0,0,0,0,"2810006K23Rik"
"352",9,0,1,1,0,3,0,0,"2810008D09Rik"
"353",5,1,2,1,7,3,5,5,"2810008M24Rik"
"354",0,1,0,0,0,3,0,0,"2810021B07Rik"
"355",0,0,0,0,0,0,0,0,"2810021J22Rik"
"356",1,4,1,0,4,5,3,0,"2810025M15Rik"
"357",1,0,0,0,0,0,0,0,"2810030E01Rik"
"358",0,0,0,0,0,0,0,0,"2810032G03Rik"
"359",0,0,1,0,0,2,1,1,"2810046L04Rik"
"360",2,4,0,0,0,0,0,0,"2810055F11Rik"
"361",0,0,0,0,0,0,0,0,"2810055G20Rik"
"362",24,7,3,6,2,9,0,4,"2810403A07Rik"
"363",0,0,0,0,0,0,0,0,"2810405F15Rik"
"364",0,0,17,2,2,1,4,1,"2810405K02Rik"
"365",10,17,16,2,5,8,14,12,"2810407C02Rik"
"366",2,0,0,1,1,0,2,0,"2810408M09Rik"
"367",0,0,1,0,1,1,0,1,"2810410L24Rik"
"368",0,1,0,0,0,0,0,0,"2810417H13Rik"
"369",1,3,3,0,3,2,3,2,"2810422J05Rik"
"370",3,4,4,6,1,6,15,15,"2810428I15Rik"
"371",9,0,4,10,1,3,3,6,"2810432D09Rik"
"372",2,3,5,0,6,3,6,2,"2810432L12Rik"
"373",0,7,1,6,2,7,2,6,"2810453I06Rik"
"374",6,0,1,0,0,0,5,1,"2810459M11Rik"
"375",0,0,0,0,0,0,0,0,"2810474O19Rik"
"376",0,0,0,0,0,0,0,0,"2900005J15Rik"
"377",0,0,0,0,0,0,0,0,"2900006K08Rik"
"378",2,7,3,4,7,5,9,10,"2900010M23Rik"
"379",1,0,5,0,4,42,14,5,"2900011O08Rik"
"380",0,2,0,1,0,3,0,0,"2900026A02Rik"
"381",1,0,0,0,0,0,0,0,"2900052N01Rik"
"382",3,3,0,1,4,1,0,1,"2900053A13Rik"
"383",0,0,0,0,0,0,0,0,"2900056M20Rik"
"384",0,0,0,0,0,0,0,0,"2900060B14Rik"
"385",18,16,18,4,15,7,21,13,"2900064A13Rik"
"386",5,112,7,16,4,5,5,8,"2900073G15Rik"
"387",0,0,1,0,0,1,1,0,"2900079G21Rik"
"388",2,0,2,0,0,7,1,7,"2900092D14Rik"
"389",9,1,1,2,0,2,5,2,"2900092E17Rik"
"390",8,3,5,1,7,28,19,34,"2900097C17Rik"
"391",0,0,0,0,0,1,2,0,"3010026O09Rik"
"392",6,10,4,2,2,1,7,3,"3110001D03Rik"
"393",0,0,0,0,0,0,0,0,"3110001I22Rik"
"394",8,1,1,0,3,3,3,2,"3110002H16Rik"
"395",0,2,0,1,0,6,4,6,"3110003A17Rik"
"396",0,6,0,0,0,0,0,1,"3110007F17Rik"
"397",0,0,0,0,0,0,0,0,"3110009E18Rik"
"398",0,0,41,0,0,2,58,8,"3110035E14Rik"
"399",0,0,0,0,0,0,0,0,"3110039M20Rik"
"400",2,1,2,0,0,0,2,2,"3110040N11Rik"
"401",3,2,0,6,0,2,3,5,"3110043O21Rik"
"402",0,0,0,0,0,1,0,0,"3110047P20Rik"
"403",2,0,8,0,8,2,11,3,"3110056O03Rik"
"404",2,0,1,0,0,2,0,1,"3110057O12Rik"
"405",4,0,0,0,0,0,0,0,"3110079O15Rik"
"406",0,0,0,0,0,0,0,0,"3110082D06Rik"
"407",1,0,0,0,0,0,0,1,"3110082I17Rik"
"408",0,0,0,2,0,2,3,0,"3200002M19Rik"
"409",2,6,5,3,2,2,1,2,"3230401D17Rik"
"410",0,0,4,0,0,2,3,4,"3632451O06Rik"
"411",1,0,1,0,0,0,1,2,"3830406C13Rik"
"412",0,0,0,0,0,0,0,0,"3830408C21Rik"
"413",0,0,0,0,0,0,0,0,"3930402G23Rik"
"414",7,2,2,2,1,2,1,9,"4632411B12Rik"
"415",2,0,1,0,0,0,1,0,"4632415K11Rik"
"416",0,0,0,0,0,0,2,0,"4632415L05Rik"
"417",2,4,0,81,0,0,1,5,"4632428N05Rik"
"418",3,2,5,1,3,0,1,0,"4732418C07Rik"
"419",1,0,0,0,0,0,1,1,"4732471D19Rik"
"420",4,0,0,0,0,8,1,2,"4833420G17Rik"
"421",1,0,0,0,0,0,0,0,"4833422C13Rik"
"422",0,0,9,0,0,3,14,4,"4833424O15Rik"
"423",2,3,6,4,4,3,17,5,"4833439L19Rik"
"424",1,0,0,0,1,0,2,1,"4921513D23Rik"
"425",0,13,1,0,0,1,3,0,"4921524J17Rik"
"426",2,0,0,0,0,0,4,0,"4922501C03Rik"
"427",11,1,3,0,8,7,3,3,"4930402H24Rik"
"428",0,0,0,0,0,0,0,0,"4930404I05Rik"
"429",0,0,0,4,0,1,1,0,"4930404N11Rik"
"430",0,0,0,0,0,0,0,0,"4930417G10Rik"
"431",1,1,1,2,3,2,3,4,"4930420K17Rik"
"432",0,0,0,0,0,0,0,0,"4930422G04Rik"
"433",0,0,0,0,0,0,2,0,"4930427A07Rik"
"434",4,0,1,0,2,0,1,0,"4930430F08Rik"
"435",2,0,1,0,0,1,0,1,"4930444A02Rik"
"436",0,0,0,0,0,0,0,0,"4930452B06Rik"
"437",3,5,0,0,0,1,2,1,"4930453N24Rik"
"438",2,0,2,1,2,0,0,0,"4930455C21Rik"
"439",8,0,0,0,0,0,0,4,"4930455F23Rik"
"440",8,1,0,4,3,3,6,0,"4930471M23Rik"
"441",0,0,0,0,0,0,0,0,"4930486L24Rik"
"442",0,1,3,1,0,0,1,0,"4930503E24Rik"
"443",1,1,0,0,0,0,0,1,"4930503L19Rik"
"444",0,0,0,0,0,0,0,10,"4930506M07Rik"
"445",0,0,0,0,0,0,0,1,"4930523C07Rik"
"446",0,0,0,0,0,0,0,0,"4930539J05Rik"
"447",0,0,0,0,0,0,0,1,"4930570G19Rik"
"448",0,2,1,0,2,1,1,1,"4930572J05Rik"
"449",0,0,0,0,0,0,0,0,"4930578C19Rik"
"450",0,0,0,0,0,0,1,1,"4930579G24Rik"
"451",0,0,0,0,0,0,0,0,"4930579J09Rik"
"452",0,0,0,0,0,0,0,0,"4930581F22Rik"
"453",2,4,5,1,5,0,3,1,"4931406C07Rik"
"454",3,19,3,0,2,2,5,1,"4931406P16Rik"
"455",0,0,1,0,2,12,2,8,"4931428F04Rik"
"456",1,0,0,0,0,2,0,0,"4931440P22Rik"
"457",0,0,1,0,0,0,0,1,"4932415G12Rik"
"458",0,0,0,0,0,1,0,0,"4932416H05Rik"
"459",2,2,4,0,0,6,1,4,"4932438A13Rik"
"460",0,0,0,0,0,0,0,0,"4932438H23Rik"
"461",1,0,0,0,0,0,0,1,"4933403F05Rik"
"462",0,0,0,0,0,1,0,0,"4933404O12Rik"
"463",1,0,1,2,3,14,4,11,"4933407C03Rik"
"464",3,0,0,0,0,0,0,0,"4933407H18Rik"
"465",0,0,0,0,0,0,0,1,"4933407K13Rik"
